Minute,Fraction
6395,0.722576
6396,0.722576
6397,0.722576
6398,0.722576
6399,0.722576
6400,0.722576
6401,0.722576
6402,0.722576
6403,0.722576
6404,0.722576
17014,0.663676
17015,0.663676
17016,0.663676
17017,0.663676
21384,0.356295
21385,0.356295
21386,0.356295
21387,0.356295
21388,0.356295
21389,0.356295
21390,0.356295
21391,0.356295
21392,0.356295
22761,0.815051
22762,0.815051
22763,0.815051
22764,0.815051
22765,0.815051
22766,0.815051
27252,0.595514
27253,0.595514
27254,0.595514
27255,0.595514
30674,0.659479
30675,0.659479
30676,0.659479
30677,0.659479
32443,0.444428
32444,0.444428
32445,0.444428
32446,0.444428
32447,0.444428
32448,0.444428
32641,0.612301
32642,0.612301
32643,0.612301
32644,0.612301
32645,0.612301
32646,0.612301
32647,0.612301
38099,0.907815
38100,0.907815
45092,0.461216
45093,0.461216
45094,0.461216
45095,0.461216
45870,0.54848
45871,0.54848
45872,0.54848
45873,0.54848
45874,0.54848
45875,0.54848
45876,0.54848
45877,0.54848
45878,0.54848
46535,0.685962
46536,0.685962
46537,0.685962
49517,0.598119
49518,0.598119
49519,0.598119
49520,0.598119
49521,0.598119
49522,0.598119
49523,0.598119
63815,0.89725
63816,0.89725
63817,0.89725
63818,0.89725
63819,0.89725
72646,0.701737
72647,0.701737
72648,0.701737
72649,0.701737
72650,0.701737
72651,0.701737
72652,0.701737
73239,0.50275
73240,0.50275
73241,0.50275
90433,0.573661
90434,0.573661
90435,0.573661
90436,0.573661
90437,0.573661
99216,0.996237
99217,0.996237
99218,0.996237
110787,0.623878
110788,0.623878
110789,0.623878
110790,0.623878
110791,0.623878
110792,0.623878
110793,0.623878
113468,0.554559
113469,0.554559
113470,0.554559
113471,0.554559
113472,0.554559
113473,0.554559
113474,0.554559
113475,0.554559
113476,0.554559
113477,0.554559
120742,0.581042
120743,0.581042
120744,0.581042
120745,0.581042
120746,0.581042
120747,0.581042
120748,0.581042
130816,0.770188
130817,0.770188
130818,0.770188
130819,0.770188
130820,0.770188
130821,0.770188
137258,0.494211
137259,0.494211
137260,0.494211
137261,0.494211
137262,0.494211
137263,0.494211
137264,0.494211
138045,0.575253
138046,0.575253
138047,0.575253
138048,0.575253
161232,0.900724
161233,0.900724
161234,0.900724
161235,0.900724
170828,0.581331
170829,0.581331
170830,0.581331
171055,0.860203
171056,0.860203
171057,0.860203
171058,0.860203
171059,0.860203
171060,0.860203
180776,0.717366
180777,0.717366
180778,0.717366
180779,0.717366
180780,0.717366
180781,0.717366
185751,0.587844
185752,0.587844
185753,0.587844
185754,0.587844
185755,0.587844
185756,0.587844
188287,0.640666
188288,0.640666
188289,0.640666
188290,0.640666
188291,0.640666
188292,0.640666
188293,0.640666
188294,0.640666
189326,0.579595
189327,0.579595
189328,0.579595
189329,0.579595
189330,0.579595
189880,0.693198
189881,0.693198
189882,0.693198
189883,0.693198
189884,0.693198
189885,0.693198
193485,0.729088
193486,0.729088
193487,0.729088
193488,0.729088
194103,0.736614
194104,0.736614
194105,0.736614
194106,0.736614
194107,0.736614
194108,0.736614
194238,0.721708
194239,0.721708
194240,0.721708
194241,0.721708
194242,0.721708
194243,0.721708
194244,0.721708
201359,0.634298
201360,0.634298
201361,0.634298
201362,0.634298
207995,0.722576
207996,0.722576
207997,0.722576
207998,0.722576
207999,0.722576
208000,0.722576
208001,0.722576
208002,0.722576
208003,0.722576
208004,0.722576
218075,0.722576
218076,0.722576
218077,0.722576
218078,0.722576
218079,0.722576
218080,0.722576
218081,0.722576
218082,0.722576
218083,0.722576
218084,0.722576
223545,0.871346
223546,0.871346
223547,0.871346
223548,0.871346
223549,0.871346
223550,0.871346
230281,0.667149
230282,0.667149
230283,0.667149
230284,0.667149
233022,0.46657
233023,0.46657
233024,0.46657
233025,0.46657
248646,0.464399
248647,0.464399
248648,0.464399
248649,0.464399
248650,0.464399
248651,0.464399
251683,0.416643
251684,0.416643
251685,0.416643
251686,0.416643
251687,0.416643
251688,0.416643
251689,0.416643
251690,0.416643
251691,0.416643
262045,0.464544
262046,0.464544
262047,0.464544
262048,0.464544
262049,0.464544
262050,0.464544
262718,0.64602
262719,0.64602
262720,0.64602
262721,0.64602
265549,0.536469
265550,0.536469
265551,0.536469
265552,0.536469
265553,0.536469
265554,0.536469
265555,0.536469
265556,0.536469
265557,0.536469
265558,0.536469
266818,0.677713
266819,0.677713
266820,0.677713
266821,0.677713
266822,0.677713
266823,0.677713
277331,0.580174
277332,0.580174
277333,0.580174
277334,0.580174
