name,display_name,short_name,description,unit,datatype,user_defined
building_area,Total Building Area,Bldg Area,Total building area as calculated by Energy Plus,square_meter,double,FALSE
electricity_heating_eui,Heating Electricity EUI,Elec Heat EUI,Total electricity used for heating per square foot,megajoules_per_square_meter,double,FALSE
electricity_cooling_eui,Cooling Electricity EUI,Elec Cool EUI,Total electricity used for cooling per square foot,megajoules_per_square_meter,double,FALSE
electricity_interior_lighting_eui,Interior Lighting Electricity EUI,Elec Int Light EUI,Total electricity used for interior lighting per square foot,megajoules_per_square_meter,double,FALSE
electricity_exterior_lighting_eui,Exterior Lighting Electricity EUI,Elec Ext Light EUI,Total electricity used for exterior lighting per square foot,megajoules_per_square_meter,double,FALSE
electricity_interior_equipment_eui,Interior Equipment Electricity EUI,Elec Int Equip EUI,Total electricity used for interior equipment per square foot,megajoules_per_square_meter,double,FALSE
electricity_exterior_equipment_eui,Exterior Equipment Electricity EUI,Elec Ext Equip EUI,Total electricity used for exterior equipment per square foot,megajoules_per_square_meter,double,FALSE
electricity_fans_eui,Fans Electricity EUI,Elec Fans EUI,Total electricity used for fans per square foot,megajoules_per_square_meter,double,FALSE
electricity_pumps_eui,Pumps Electricity EUI,Elec Pumps EUI,Total electricity used for pumps per square foot,megajoules_per_square_meter,double,FALSE
electricity_heat_rejection_eui,Heat Rejection Electricity EUI,Elec Heat Rej EUI,Total electricity used for heat rejection per square foot,megajoules_per_square_meter,double,FALSE
electricity_humidification_eui,Humidification Electricity EUI,Elec Humid EUI,Total electricity used for humidification per square foot,megajoules_per_square_meter,double,FALSE
electricity_heat_recovery_eui,Heat Recovery Electricity EUI,Elec Heat Rec EUI,Total electricity used for heat recovery per square foot,megajoules_per_square_meter,double,FALSE
electricity_water_systems_eui,Water Systems Electricity EUI,Elec Water Systems EUI,Total electricity used for water systems per square foot,megajoules_per_square_meter,double,FALSE
electricity_refrigeration_eui,Refrigeration Electricity EUI,Elec Rfg EUI,Total electricity used for refrigeration per square foot,megajoules_per_square_meter,double,FALSE
electricity_generators_eui,Generators Electricity EUI,Elec Gen EUI,Total electricity used for generators per square foot,megajoules_per_square_meter,double,FALSE
total_electricity_end_use,Total Electricity End Use,Elec Total,Total electricity End Use,gigajoule,double,FALSE
natural_gas_heating_eui,Heating Natural Gas EUI,NG Heat EUI,Total natural gas used for heating per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_cooling_eui,Cooling Natural Gas EUI,NG Cool EUI,Total natural gas used for cooling per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_interior_lighting_eui,Interior Lighting Natural Gas EUI,NG Int Light EUI,Total natural gas used for interior lighting per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_exterior_lighting_eui,Exterior Lighting Natural Gas EUI,NG Ext Light EUI,Total natural gas used for exterior lighting per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_interior_equipment_eui,Interior Equipment Natural Gas EUI,NG Int Equip EUI,Total natural gas used for interior equipment per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_exterior_equipment_eui,Exterior Equipment Natural Gas EUI,NG Ext Equip EUI,Total natural gas used for exterior equipment per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_fans_eui,Fans Natural Gas EUI,NG Fans EUI,Total natural gas used for fans per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_pumps_eui,Pumps Natural Gas EUI,NG Pumps EUI,Total natural gas used for pumps per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_heat_rejection_eui,Heat Rejection Natural Gas EUI,NG Heat Rej EUI,Total natural gas used for heat rejection per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_humidification_eui,Humidification Natural Gas EUI,NG Humid EUI,Total natural gas used for humidification per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_heat_recovery_eui,Heat Recovery Natural Gas EUI,NG Heat Rec EUI,Total natural gas used for heat recovery per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_water_systems_eui,Water Systems Natural Gas EUI,NG Water Systems EUI,Total natural gas used for water systems per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_refrigeration_eui,Refrigeration Natural Gas EUI,NG Rfg EUI,Total natural gas used for refrigeration per square foot,megajoules_per_square_meter,double,FALSE
natural_gas_generators_eui,Generators Natural Gas EUI,NG Gen EUI,Total natural gas used for generators per square foot,megajoules_per_square_meter,double,FALSE
total_natural_gas_end_use,Total Natural Gas End Use,NG Total,Total natural gas End Use,gigajoule,double,FALSE
additional_fuel_heating_eui,Heating Additional Fuel EUI,Other Fuel Heat EUI,Total additional fuel used for heating per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_cooling_eui,Cooling Additional Fuel EUI,Other Fuel Cool EUI,Total additional fuel used for cooling per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_interior_lighting_eui,Interior Lighting Additional Fuel EUI,Other Fuel Int Light EUI,Total additional fuel used for interior lighting per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_exterior_lighting_eui,Exterior Lighting Additional Fuel EUI,Other Fuel Ext Light EUI,Total additional fuel used for exterior lighting per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_interior_equipment_eui,Interior Equipment Additional Fuel EUI,Other Fuel Int Equip EUI,Total additional fuel used for interior equipment per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_exterior_equipment_eui,Exterior Equipment Additional Fuel EUI,Other Fuel Ext Equip EUI,Total additional fuel used for exterior equipment per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_fans_eui,Fans Additional Fuel EUI,Other Fuel Fans EUI,Total additional fuel used for fans per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_pumps_eui,Pumps Additional Fuel EUI,Other Fuel Pumps EUI,Total additional fuel used for pumps per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_heat_rejection_eui,Heat Rejection Additional Fuel EUI,Other Fuel Heat Rej EUI,Total additional fuel used for heat rejection per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_humidification_eui,Humidification Additional Fuel EUI,Other Fuel Humid EUI,Total additional fuel used for humidification per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_heat_recovery_eui,Heat Recovery Additional Fuel EUI,Other Fuel Heat Rec EUI,Total additional fuel used for heat recovery per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_water_systems_eui,Water Systems Additional Fuel EUI,Other Fuel Water Systems EUI,Total additional fuel used for water systems per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_refrigeration_eui,Refrigeration Additional Fuel EUI,Other Fuel Rfg EUI,Total additional fuel used for refrigeration per square foot,megajoules_per_square_meter,double,FALSE
additional_fuel_generators_eui,Generators Additional Fuel EUI,Other Fuel Gen EUI,Total additional fuel used for generators per square foot,megajoules_per_square_meter,double,FALSE
total_additional_fuel_end_use,Total Additional Fuel End Use,Other Fuel Total,Total additional fuel End Use,gigajoule,double,FALSE
district_cooling_heating_eui,Heating District Cooling EUI,Dist Cool Heat EUI,Total district cooling used for heating per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_cooling_eui,Cooling District Cooling EUI,Dist Cool Cool EUI,Total district cooling used for cooling per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_interior_lighting_eui,Interior Lighting District Cooling EUI,Dist Cool Int Light EUI,Total district cooling used for interior lighting per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_exterior_lighting_eui,Exterior Lighting District Cooling EUI,Dist Cool Ext Light EUI,Total district cooling used for exterior lighting per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_interior_equipment_eui,Interior Equipment District Cooling EUI,Dist Cool Int Equip EUI,Total district cooling used for interior equipment per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_exterior_equipment_eui,Exterior Equipment District Cooling EUI,Dist Cool Ext Equip EUI,Total district cooling used for exterior equipment per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_fans_eui,Fans District Cooling EUI,Dist Cool Fans EUI,Total district cooling used for fans per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_pumps_eui,Pumps District Cooling EUI,Dist Cool Pumps EUI,Total district cooling used for pumps per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_heat_rejection_eui,Heat Rejection District Cooling EUI,Dist Cool Heat Rej EUI,Total district cooling used for heat rejection per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_humidification_eui,Humidification District Cooling EUI,Dist Cool Humid EUI,Total district cooling used for humidification per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_heat_recovery_eui,Heat Recovery District Cooling EUI,Dist Cool Heat Rec EUI,Total district cooling used for heat recovery per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_water_systems_eui,Water Systems District Cooling EUI,Dist Cool Water Systems EUI,Total district cooling used for water systems per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_refrigeration_eui,Refrigeration District Cooling EUI,Dist Cool Rfg EUI,Total district cooling used for refrigeration per square foot,megajoules_per_square_meter,double,FALSE
district_cooling_generators_eui,Generators District Cooling EUI,Dist Cool Gen EUI,Total district cooling used for generators per square foot,megajoules_per_square_meter,double,FALSE
total_district_cooling_end_use,Total District Cooling End Use,Dist Cool Total,Total district cooling End Use,gigajoule,double,FALSE
district_heating_heating_eui,Heating District Heating EUI,Dist Heat Heat EUI,Total district heating used for heating per square foot,megajoules_per_square_meter,double,FALSE
district_heating_cooling_eui,Cooling District Heating EUI,Dist Heat Cool EUI,Total district heating used for cooling per square foot,megajoules_per_square_meter,double,FALSE
district_heating_interior_lighting_eui,Interior Lighting District Heating EUI,Dist Heat Int Light EUI,Total district heating used for interior lighting per square foot,megajoules_per_square_meter,double,FALSE
district_heating_exterior_lighting_eui,Exterior Lighting District Heating EUI,Dist Heat Ext Light EUI,Total district heating used for exterior lighting per square foot,megajoules_per_square_meter,double,FALSE
district_heating_interior_equipment_eui,Interior Equipment District Heating EUI,Dist Heat Int Equip EUI,Total district heating used for interior equipment per square foot,megajoules_per_square_meter,double,FALSE
district_heating_exterior_equipment_eui,Exterior Equipment District Heating EUI,Dist Heat Ext Equip EUI,Total district heating used for exterior equipment per square foot,megajoules_per_square_meter,double,FALSE
district_heating_fans_eui,Fans District Heating EUI,Dist Heat Fans EUI,Total district heating used for fans per square foot,megajoules_per_square_meter,double,FALSE
district_heating_pumps_eui,Pumps District Heating EUI,Dist Heat Pumps EUI,Total district heating used for pumps per square foot,megajoules_per_square_meter,double,FALSE
district_heating_heat_rejection_eui,Heat Rejection District Heating EUI,Dist Heat Heat Rej EUI,Total district heating used for heat rejection per square foot,megajoules_per_square_meter,double,FALSE
district_heating_humidification_eui,Humidification District Heating EUI,Dist Heat Humid EUI,Total district heating used for humidification per square foot,megajoules_per_square_meter,double,FALSE
district_heating_heat_recovery_eui,Heat Recovery District Heating EUI,Dist Heat Heat Rec EUI,Total district heating used for heat recovery per square foot,megajoules_per_square_meter,double,FALSE
district_heating_water_systems_eui,Water Systems District Heating EUI,Dist Heat Water Systems EUI,Total district heating used for water systems per square foot,megajoules_per_square_meter,double,FALSE
district_heating_refrigeration_eui,Refrigeration District Heating EUI,Dist Heat Rfg EUI,Total district heating used for refrigeration per square foot,megajoules_per_square_meter,double,FALSE
district_heating_generators_eui,Generators District Heating EUI,Dist Heat Gen EUI,Total district heating used for generators per square foot,megajoules_per_square_meter,double,FALSE
total_district_heating_end_use,Total District Heating End Use,Dist Heat Total,Total district heating End Use,gigajoule,double,FALSE
water_heating_eui,Heating Water EUI,Water Heat EUI,Total water used for heating per square foot,meter,double,FALSE
water_cooling_eui,Cooling Water EUI,Water Cool EUI,Total water used for cooling per square foot,meter,double,FALSE
water_interior_lighting_eui,Interior Lighting Water EUI,Water Int Light EUI,Total water used for interior lighting per square foot,meter,double,FALSE
water_exterior_lighting_eui,Exterior Lighting Water EUI,Water Ext Light EUI,Total water used for exterior lighting per square foot,meter,double,FALSE
water_interior_equipment_eui,Interior Equipment Water EUI,Water Int Equip EUI,Total water used for interior equipment per square foot,meter,double,FALSE
water_exterior_equipment_eui,Exterior Equipment Water EUI,Water Ext Equip EUI,Total water used for exterior equipment per square foot,meter,double,FALSE
water_fans_eui,Fans Water EUI,Water Fans EUI,Total water used for fans per square foot,meter,double,FALSE
water_pumps_eui,Pumps Water EUI,Water Pumps EUI,Total water used for pumps per square foot,meter,double,FALSE
water_heat_rejection_eui,Heat Rejection Water EUI,Water Heat Rej EUI,Total water used for heat rejection per square foot,meter,double,FALSE
water_humidification_eui,Humidification Water EUI,Water Humid EUI,Total water used for humidification per square foot,meter,double,FALSE
water_heat_recovery_eui,Heat Recovery Water EUI,Water Heat Rec EUI,Total water used for heat recovery per square foot,meter,double,FALSE
water_water_systems_eui,Water Systems Water EUI,Water Water Systems EUI,Total water used for water systems per square foot,meter,double,FALSE
