name,display_name,short_name,description,unit,datatype,user_defined
water_refrigeration_eui,Refrigeration Water EUI,Water Rfg EUI,Total water used for refrigeration per square foot,meter,double,FALSE
water_generators_eui,Generators Water EUI,Water Gen EUI,Total water used for generators per square foot,meter,double,FALSE
total_water_end_use,Total Water End Use,Water Total,Total water End Use,cubic meter,double,FALSE
site_energy_use,Total Site Energy Use,Site Energy,Total energy consumption for the site,gigajoule,double,FALSE
january_end_use_electricity_eui,January Electricity EUI,Jan Elec EUI,Total electricity end use energy use per square meter in January,megajoules_per_square_meter,double,FALSE
february_end_use_electricity_eui,February Electricity EUI,Feb Elec EUI,Total electricity end use energy use per square meter in February,megajoules_per_square_meter,double,FALSE
march_end_use_electricity_eui,March Electricity EUI,Mar Elec EUI,Total electricity end use energy use per square meter in March,megajoules_per_square_meter,double,FALSE
april_end_use_electricity_eui,April Electricity EUI,Apr Elec EUI,Total electricity end use energy use per square meter in April,megajoules_per_square_meter,double,FALSE
may_end_use_electricity_eui,May Electricity EUI,May Elec EUI,Total electricity end use energy use per square meter in May,megajoules_per_square_meter,double,FALSE
june_end_use_electricity_eui,June Electricity EUI,Jun Elec EUI,Total electricity end use energy use per square meter in June,megajoules_per_square_meter,double,FALSE
july_end_use_electricity_eui,July Electricity EUI,Jul Elec EUI,Total electricity end use energy use per square meter in July,megajoules_per_square_meter,double,FALSE
august_end_use_electricity_eui,August Electricity EUI,Aug Elec EUI,Total electricity end use energy use per square meter in August,megajoules_per_square_meter,double,FALSE
september_end_use_electricity_eui,September Electricity EUI,Sep Elec EUI,Total electricity end use energy use per square meter in September,megajoules_per_square_meter,double,FALSE
october_end_use_electricity_eui,October Electricity EUI,Oct Elec EUI,Total electricity end use energy use per square meter in October,megajoules_per_square_meter,double,FALSE
november_end_use_electricity_eui,November Electricity EUI,Nov Elec EUI,Total electricity end use energy use per square meter in November,megajoules_per_square_meter,double,FALSE
december_end_use_electricity_eui,December Electricity EUI,Dec Elec EUI,Total electricity end use energy use per square meter in December,megajoules_per_square_meter,double,FALSE
january_end_use_natural_gas_eui,January Natural Gas EUI,Jan NG EUI,Total natural gas end use energy use per square meter in January,megajoules_per_square_meter,double,FALSE
february_end_use_natural_gas_eui,February Natural Gas EUI,Feb NG EUI,Total natural gas end use energy use per square meter in February,megajoules_per_square_meter,double,FALSE
march_end_use_natural_gas_eui,March Natural Gas EUI,Mar NG EUI,Total natural gas end use energy use per square meter in March,megajoules_per_square_meter,double,FALSE
april_end_use_natural_gas_eui,April Natural Gas EUI,Apr NG EUI,Total natural gas end use energy use per square meter in April,megajoules_per_square_meter,double,FALSE
may_end_use_natural_gas_eui,May Natural Gas EUI,May NG EUI,Total natural gas end use energy use per square meter in May,megajoules_per_square_meter,double,FALSE
june_end_use_natural_gas_eui,June Natural Gas EUI,Jun NG EUI,Total natural gas end use energy use per square meter in June,megajoules_per_square_meter,double,FALSE
july_end_use_natural_gas_eui,July Natural Gas EUI,Jul NG EUI,Total natural gas end use energy use per square meter in July,megajoules_per_square_meter,double,FALSE
august_end_use_natural_gas_eui,August Natural Gas EUI,Aug NG EUI,Total natural gas end use energy use per square meter in August,megajoules_per_square_meter,double,FALSE
september_end_use_natural_gas_eui,September Natural Gas EUI,Sep NG EUI,Total natural gas end use energy use per square meter in September,megajoules_per_square_meter,double,FALSE
october_end_use_natural_gas_eui,October Natural Gas EUI,Oct NG EUI,Total natural gas end use energy use per square meter in October,megajoules_per_square_meter,double,FALSE
november_end_use_natural_gas_eui,November Natural Gas EUI,Nov NG EUI,Total natural gas end use energy use per square meter in November,megajoules_per_square_meter,double,FALSE
december_end_use_natural_gas_eui,December Natural Gas EUI,Dec NG EUI,Total natural gas end use energy use per square meter in December,megajoules_per_square_meter,double,FALSE
january_end_use_additional_fuel_eui,January Additional Fuel EUI,Jan Other Fuel EUI,Total additional fuel end use energy use per square meter in January,megajoules_per_square_meter,double,FALSE
february_end_use_additional_fuel_eui,February Additional Fuel EUI,Feb Other Fuel EUI,Total additional fuel end use energy use per square meter in February,megajoules_per_square_meter,double,FALSE
march_end_use_additional_fuel_eui,March Additional Fuel EUI,Mar Other Fuel EUI,Total additional fuel end use energy use per square meter in March,megajoules_per_square_meter,double,FALSE
april_end_use_additional_fuel_eui,April Additional Fuel EUI,Apr Other Fuel EUI,Total additional fuel end use energy use per square meter in April,megajoules_per_square_meter,double,FALSE
may_end_use_additional_fuel_eui,May Additional Fuel EUI,May Other Fuel EUI,Total additional fuel end use energy use per square meter in May,megajoules_per_square_meter,double,FALSE
june_end_use_additional_fuel_eui,June Additional Fuel EUI,Jun Other Fuel EUI,Total additional fuel end use energy use per square meter in June,megajoules_per_square_meter,double,FALSE
july_end_use_additional_fuel_eui,July Additional Fuel EUI,Jul Other Fuel EUI,Total additional fuel end use energy use per square meter in July,megajoules_per_square_meter,double,FALSE
august_end_use_additional_fuel_eui,August Additional Fuel EUI,Aug Other Fuel EUI,Total additional fuel end use energy use per square meter in August,megajoules_per_square_meter,double,FALSE
september_end_use_additional_fuel_eui,September Additional Fuel EUI,Sep Other Fuel EUI,Total additional fuel end use energy use per square meter in September,megajoules_per_square_meter,double,FALSE
october_end_use_additional_fuel_eui,October Additional Fuel EUI,Oct Other Fuel EUI,Total additional fuel end use energy use per square meter in October,megajoules_per_square_meter,double,FALSE
november_end_use_additional_fuel_eui,November Additional Fuel EUI,Nov Other Fuel EUI,Total additional fuel end use energy use per square meter in November,megajoules_per_square_meter,double,FALSE
december_end_use_additional_fuel_eui,December Additional Fuel EUI,Dec Other Fuel EUI,Total additional fuel end use energy use per square meter in December,megajoules_per_square_meter,double,FALSE
january_end_use_district_cooling_eui,January District Cooling EUI,Jan Dist Cool EUI,Total district cooling end use energy use per square meter in January,megajoules_per_square_meter,double,FALSE
february_end_use_district_cooling_eui,February District Cooling EUI,Feb Dist Cool EUI,Total district cooling end use energy use per square meter in February,megajoules_per_square_meter,double,FALSE
march_end_use_district_cooling_eui,March District Cooling EUI,Mar Dist Cool EUI,Total district cooling end use energy use per square meter in March,megajoules_per_square_meter,double,FALSE
april_end_use_district_cooling_eui,April District Cooling EUI,Apr Dist Cool EUI,Total district cooling end use energy use per square meter in April,megajoules_per_square_meter,double,FALSE
may_end_use_district_cooling_eui,May District Cooling EUI,May Dist Cool EUI,Total district cooling end use energy use per square meter in May,megajoules_per_square_meter,double,FALSE
june_end_use_district_cooling_eui,June District Cooling EUI,Jun Dist Cool EUI,Total district cooling end use energy use per square meter in June,megajoules_per_square_meter,double,FALSE
july_end_use_district_cooling_eui,July District Cooling EUI,Jul Dist Cool EUI,Total district cooling end use energy use per square meter in July,megajoules_per_square_meter,double,FALSE
august_end_use_district_cooling_eui,August District Cooling EUI,Aug Dist Cool EUI,Total district cooling end use energy use per square meter in August,megajoules_per_square_meter,double,FALSE
september_end_use_district_cooling_eui,September District Cooling EUI,Sep Dist Cool EUI,Total district cooling end use energy use per square meter in September,megajoules_per_square_meter,double,FALSE
october_end_use_district_cooling_eui,October District Cooling EUI,Oct Dist Cool EUI,Total district cooling end use energy use per square meter in October,megajoules_per_square_meter,double,FALSE
november_end_use_district_cooling_eui,November District Cooling EUI,Nov Dist Cool EUI,Total district cooling end use energy use per square meter in November,megajoules_per_square_meter,double,FALSE
december_end_use_district_cooling_eui,December District Cooling EUI,Dec Dist Cool EUI,Total district cooling end use energy use per square meter in December,megajoules_per_square_meter,double,FALSE
january_end_use_district_heating_eui,January District Heating EUI,Jan Dist Heat EUI,Total district heating end use energy use per square meter in January,megajoules_per_square_meter,double,FALSE
february_end_use_district_heating_eui,February District Heating EUI,Feb Dist Heat EUI,Total district heating end use energy use per square meter in February,megajoules_per_square_meter,double,FALSE
march_end_use_district_heating_eui,March District Heating EUI,Mar Dist Heat EUI,Total district heating end use energy use per square meter in March,megajoules_per_square_meter,double,FALSE
april_end_use_district_heating_eui,April District Heating EUI,Apr Dist Heat EUI,Total district heating end use energy use per square meter in April,megajoules_per_square_meter,double,FALSE
may_end_use_district_heating_eui,May District Heating EUI,May Dist Heat EUI,Total district heating end use energy use per square meter in May,megajoules_per_square_meter,double,FALSE
june_end_use_district_heating_eui,June District Heating EUI,Jun Dist Heat EUI,Total district heating end use energy use per square meter in June,megajoules_per_square_meter,double,FALSE
july_end_use_district_heating_eui,July District Heating EUI,Jul Dist Heat EUI,Total district heating end use energy use per square meter in July,megajoules_per_square_meter,double,FALSE
august_end_use_district_heating_eui,August District Heating EUI,Aug Dist Heat EUI,Total district heating end use energy use per square meter in August,megajoules_per_square_meter,double,FALSE
september_end_use_district_heating_eui,September District Heating EUI,Sep Dist Heat EUI,Total district heating end use energy use per square meter in September,megajoules_per_square_meter,double,FALSE
october_end_use_district_heating_eui,October District Heating EUI,Oct Dist Heat EUI,Total district heating end use energy use per square meter in October,megajoules_per_square_meter,double,FALSE
november_end_use_district_heating_eui,November District Heating EUI,Nov Dist Heat EUI,Total district heating end use energy use per square meter in November,megajoules_per_square_meter,double,FALSE
december_end_use_district_heating_eui,December District Heating EUI,Dec Dist Heat EUI,Total district heating end use energy use per square meter in December,megajoules_per_square_meter,double,FALSE
life_cycle_cost,Total Life Cycle Cost,Life Cycle Cost,Total calculated life cycle cost,us_dollar,double,FALSE
conditioned_area,Total Conditioned Area,Cond Bldg Area,Total conditioned building area as calculated by Energy Plus,square_meter,double,FALSE
unconditioned_area,Total Unconditioned Area,Uncond Bldg Area,Total unconditioned building area as calculated by EnergyPlus,square_meter,double,FALSE
total_site_eui,Total Site Energy Use Intensity,Site EUI,Total site energy use intensity per conditioned building area as calculated by EnergyPlus,megajoules_per_square_meter,double,FALSE
total_source_eui,Total Source Energy Use Intensity,Source EUI,Total source energy use intensity per conditioned building area as calculated by EnergyPlus,megajoules_per_square_meter,double,FALSE
time_setpoint_not_met_during_occupied_heating,Occupied Time During Which Heating Setpoint Not Met,Setpoint Missed Heat,Hours during which the building was occupied but the heating setpoint temperature was not met,hour,double,FALSE
time_setpoint_not_met_during_occupied_cooling,Occupied Time During Which Cooling Setpoint Not Met,Setpoint Missed Cool,Hours during which the building was occupied but the cooling setpoint temperature was not met,hour,double,FALSE
time_setpoint_not_met_during_occupied_hours,Occupied Time During Which Temperature Setpoint Not Met,Setpoint Missed Total,Hours during which the building was occupied but the setpoint temperatures were not met,hour,double,FALSE
window_to_wall_ratio_north,North Window to Wall Ratio,WWR North,Window to wall ratio of wall objects facing between 315 and 45 degrees,percent,double,FALSE
window_to_wall_ratio_south,South Window to Wall Ratio,WWR South,Window to wall ratio of wall objects facing between 135 and 225 degrees,percent,double,FALSE
window_to_wall_ratio_east,East Window to Wall Ratio,WWR East,Window to wall ratio of wall objects facing between 45 and 135 degrees,percent,double,FALSE
window_to_wall_ratio_west,West Window to Wall Ratio,WWR West,Window to wall ratio of wall objects facing between 225 and 315 degrees,percent,double,FALSE
latitude,Latitude,Lat,Building latitude based on weather file,degrees_angular,double,FALSE
longitude,Longitude,Long,Building longitude based on weather file,degrees_angular,double,FALSE
weather_file,Weather File,Weather File,Name of weather file,none,string,FALSE
orientation,Building Orientation,Orientation,Degrees of building north axis off of true north,degrees_angular,double,FALSE
total_building_volume,Total Building Volume,Volume,Building volume calculated by multiplying floor to floor height and footprint,cubic_meter,double,FALSE
total_occupancy,Total Building Occupancy,Bldg Occ,Number of people in the building as calculated by EnergyPlus,none,double,FALSE
occupant_density,Building Occupancy Density,Occ Density,Number of people per floor area as calculated by EnergyPlus,none,double,FALSE
lighting_power,Lighting Power,Lighting Pwr,Total lighting power,watt,double,FALSE
lighting_power_density,Lighting Power Density,LPD,Total lighting power density,watts_per_square_meter,double,FALSE
infiltration_rate,Infiltration Rate,Infil Rate,Infiltration rate of air into the building,none,double,FALSE
number_of_floors,Number of Floors,Number of Floors,Total number of storeys in the building,none,double,FALSE
building_type,Building Type,Bldg Type,Building type as defined by the modeler,none,string,FALSE
exterior_wall_area,Exterior Wall Area,Ext Wall Area,Total area of all surfaces with the conditions of 'Outdoors' and 'Wall',square_meter,double,FALSE
exterior_roof_area,Exterior Roof Area,Ext Roof Area,Total area of all surfaces with the conditions of 'Outdoors' and 'Roof',square_meter,double,FALSE
ground_contact_area,Ground Contact Area,Gnd Area,Total area of all surfaces with the conditions of 'Ground' and 'Floor',square_meter,double,FALSE
exterior_fenestration_area,Exterior Fenestration Area,Window Area Total,Total area of all surfaces with the conditions of 'Outdoors' and 'FixedWindow' or 'OperableWindow',square_meter,double,FALSE
economizer_density,Economizer Density,Econ Density,Proportion of air loops with economizers to air loops without,percent,double,FALSE
aspect_ratio,Aspect Ratio,Aspect Ratio,Proportion of north wall area to east wall area,percent,double,FALSE
